epoch,train_loss,val_mIoU,best_iou,epoch_time_s
266,0.079329,0.643634,0.695176,31.53
267,0.082146,0.595050,0.695176,32.20
268,0.083221,0.531600,0.695176,29.75
269,0.080907,0.637404,0.695176,29.83
270,0.081424,0.568718,0.695176,31.87
271,0.081765,0.378428,0.695176,36.89
272,0.083732,0.629485,0.695176,29.83
273,0.084042,0.425060,0.695176,35.55
274,0.082092,0.646279,0.695176,30.19
275,0.081961,0.647687,0.695176,30.11
276,0.079013,0.474006,0.695176,36.86
277,0.081272,0.237463,0.695176,27.37
278,0.083341,0.583772,0.695176,31.93
279,0.082640,0.545523,0.695176,34.27
280,0.082259,0.567771,0.695176,33.71
281,0.084201,0.671996,0.695176,29.64
282,0.079766,0.651272,0.695176,29.57
283,0.081992,0.496036,0.695176,36.00
284,0.081212,0.642448,0.695176,30.26
285,0.079794,0.624259,0.695176,31.60
286,0.079906,0.642806,0.695176,30.46
287,0.080877,0.493408,0.695176,36.74
288,0.082509,0.607728,0.695176,31.93
289,0.080680,0.600219,0.695176,32.53
290,0.080650,0.652366,0.695176,28.94
291,0.082029,0.558349,0.695176,32.85
292,0.082162,0.280273,0.695176,29.44
293,0.082860,0.550511,0.695176,31.19
294,0.081588,0.527076,0.695176,28.85
295,0.079730,0.604616,0.695176,32.15
296,0.079687,0.627522,0.695176,30.21
297,0.080396,0.673017,0.695176,29.67
298,0.085664,0.468392,0.695176,34.10
299,0.082054,0.604326,0.695176,30.22
300,0.083357,0.158563,0.695176,33.23
301,0.080969,0.673518,0.695176,29.38
302,0.082532,0.676228,0.695176,30.48
303,0.078938,0.612771,0.695176,31.29
304,0.079436,0.536206,0.695176,33.90
305,0.078447,0.638390,0.695176,29.18
306,0.079824,0.672143,0.695176,29.13
307,0.079961,0.599106,0.695176,31.43
308,0.081540,0.583781,0.695176,30.04
309,0.080929,0.506022,0.695176,29.11
310,0.080375,0.439757,0.695176,38.46
311,0.082059,0.656650,0.695176,29.83
312,0.079438,0.274899,0.695176,30.20
313,0.081995,0.545229,0.695176,34.62
314,0.083730,0.094490,0.695176,28.92
315,0.082076,0.458780,0.695176,30.02
316,0.079997,0.616661,0.695176,31.36
317,0.080036,0.156317,0.695176,30.30
318,0.081625,0.637870,0.695176,30.39
319,0.078413,0.638713,0.695176,31.63
320,0.081491,0.666310,0.695176,29.01
321,0.080816,0.510503,0.695176,34.05
322,0.078506,0.629995,0.695176,30.29
323,0.079660,0.584137,0.695176,32.79
324,0.081209,0.325179,0.695176,29.75
325,0.077738,0.414920,0.695176,28.69
326,0.079798,0.590791,0.695176,32.30
327,0.081687,0.605751,0.695176,33.71
328,0.080331,0.601298,0.695176,30.39
329,0.080332,0.659698,0.695176,30.21
330,0.080057,0.650779,0.695176,30.04
331,0.080363,0.541961,0.695176,34.50
332,0.080505,0.663136,0.695176,29.75
333,0.080527,0.420002,0.695176,37.65
334,0.083369,0.620642,0.695176,31.67
335,0.082469,0.581873,0.695176,29.94
336,0.080312,0.306974,0.695176,37.56
337,0.079807,0.617466,0.695176,28.72
338,0.079972,0.648422,0.695176,29.76
339,0.078032,0.542734,0.695176,30.36
340,0.081056,0.633034,0.695176,29.20
341,0.077670,0.581608,0.695176,32.31
342,0.083945,0.500268,0.695176,38.35
343,0.079552,0.174397,0.695176,27.70
344,0.080161,0.647529,0.695176,29.21
345,0.077512,0.664935,0.695176,30.67
346,0.077523,0.527173,0.695176,34.54
347,0.081850,0.539347,0.695176,35.35
348,0.077253,0.649367,0.695176,29.87
349,0.079425,0.422935,0.695176,29.17
350,0.080476,0.418799,0.695176,37.85
351,0.083802,0.587287,0.695176,30.82
352,0.077352,0.585835,0.695176,32.49
353,0.077684,0.667117,0.695176,29.65
354,0.079445,0.584475,0.695176,29.03
355,0.081107,0.636719,0.695176,31.06
356,0.080035,0.587839,0.695176,29.70
357,0.076826,0.641175,0.695176,30.30
358,0.080500,0.173158,0.695176,29.29
359,0.077410,0.615658,0.695176,30.89
360,0.077576,0.480967,0.695176,35.40
361,0.079838,0.635661,0.695176,30.24
362,0.077972,0.366051,0.695176,37.68
363,0.076885,0.663225,0.695176,29.05
364,0.077817,0.575551,0.695176,33.74
365,0.078274,0.633275,0.695176,31.05
366,0.079329,0.641148,0.695176,30.67
367,0.079038,0.676833,0.695176,29.68
368,0.078126,0.573309,0.695176,32.06
369,0.076930,0.564203,0.695176,34.41
370,0.079514,0.655077,0.695176,29.22
371,0.077503,0.638640,0.695176,30.51
372,0.079149,0.644123,0.695176,29.28
373,0.083044,0.577675,0.695176,30.59
374,0.079904,0.613115,0.695176,32.03
375,0.077574,0.622795,0.695176,28.97
376,0.080388,0.487256,0.695176,29.50
377,0.079603,0.663736,0.695176,29.42
378,0.077645,0.658662,0.695176,29.59
379,0.081686,0.292334,0.695176,38.19
380,0.076548,0.570234,0.695176,35.50
381,0.076150,0.618511,0.695176,30.97
382,0.076825,0.666399,0.695176,29.20
383,0.077394,0.648254,0.695176,30.10
384,0.077582,0.480079,0.695176,36.36
385,0.078790,0.563950,0.695176,32.76
386,0.079604,0.617874,0.695176,32.04
387,0.078028,0.660080,0.695176,30.41
388,0.078304,0.670898,0.695176,30.13
389,0.077188,0.621593,0.695176,31.62
390,0.078124,0.667212,0.695176,28.38
391,0.079863,0.564431,0.695176,29.40
392,0.078083,0.644872,0.695176,28.40
393,0.078337,0.582511,0.695176,33.48
394,0.078817,0.634602,0.695176,28.89
395,0.076459,0.632955,0.695176,29.96
396,0.078699,0.619266,0.695176,31.14
397,0.078279,0.652404,0.695176,29.83
398,0.078383,0.620109,0.695176,29.48
399,0.075718,0.582618,0.695176,32.88
400,0.074573,0.658357,0.695176,28.65
401,0.077109,0.511881,0.695176,34.15
402,0.079642,0.603292,0.695176,31.81
403,0.077288,0.641476,0.695176,29.38
404,0.078455,0.663081,0.695176,28.79
405,0.077896,0.611329,0.695176,32.54
406,0.078030,0.649472,0.695176,30.76
407,0.076001,0.658330,0.695176,29.68
